,Momentum_5_linear,Momentum_10_linear,Momentum_20_linear,Momentum_30_linear,Momentum_50_linear,Momentum_100_linear,Momentum_200_linear,Momentum_250_linear
Momentum_5_linear,1.0,0.6852558826429966,0.45812085400209285,0.36900450093788134,0.2348369106278139,0.15288719648915144,0.09086445535248468,0.037304957575650825
Momentum_10_linear,0.6852558826429966,1.0,0.6887628355099835,0.569279186277344,0.4050045474928863,0.31510727997926347,0.256904502432633,0.23281444441549812
Momentum_20_linear,0.45812085400209285,0.6887628355099835,1.0,0.817976503213318,0.6211954902131753,0.4134068139701888,0.2928629892004055,0.2282466092823665
Momentum_30_linear,0.36900450093788134,0.569279186277344,0.817976503213318,1.0,0.7700116487560907,0.5443932162218585,0.440589727671231,0.3662616999466935
Momentum_50_linear,0.2348369106278139,0.4050045474928863,0.6211954902131753,0.7700116487560907,1.0,0.6987462659111063,0.5318613526522428,0.4621335856461864
Momentum_100_linear,0.15288719648915144,0.31510727997926347,0.4134068139701888,0.5443932162218585,0.6987462659111063,1.0,0.7130545360872824,0.6717420107420602
Momentum_200_linear,0.09086445535248468,0.256904502432633,0.2928629892004055,0.440589727671231,0.5318613526522428,0.7130545360872824,1.0,0.8882021262867837
Momentum_250_linear,0.037304957575650825,0.23281444441549812,0.2282466092823665,0.3662616999466935,0.4621335856461864,0.6717420107420602,0.8882021262867837,1.0
