,correlation,correlation_stable,accuracy,mean,std,skewness,zero_percent
Momentum_5_linear,0.01755379149825087,-0.40000000000000013,0.5168269230769231,0.0032067747950480538,0.03347236076023045,0.6182253594359287,0.002398081534772182
Momentum_10_linear,0.06976863807756037,1.8,0.5227817745803357,0.0036279361705785816,0.04818004914000664,0.25154930194387126,0.0
Momentum_20_linear,0.08711142949759715,0.8,0.5059952038369304,0.003715341814368012,0.06920564521657749,-0.20769022147269142,0.0
Momentum_30_linear,0.035832812149848965,0.5999999999999999,0.5467625899280575,0.007284687452667952,0.08402223046859632,0.03675464246856864,0.0
