,VolatilityCrossMarket_5_parkinson,VolatilityCrossMarket_10_yang_zhang,VolatilityCrossMarket_20_parkinson
VolatilityCrossMarket_5_parkinson,1.0,0.7541783857573785,0.582341285767006
VolatilityCrossMarket_10_yang_zhang,0.7541783857573785,1.0,0.7543038211665728
VolatilityCrossMarket_20_parkinson,0.582341285767006,0.7543038211665728,1.0
