,correlation,correlation_stable,accuracy,mean,std,skewness,zero_percent
SpotFutureSpread_7_True,-0.008686492436866663,-0.6000000000000001,0.5203836930455635,-0.007495394734528285,0.6128420572359078,0.07204762932738666,0.0
SpotFutureSpread_14_True,0.002411589286932309,-0.6000000000000001,0.5179856115107914,-0.014168036061538847,0.6133275746192881,0.10870613357994413,0.0
SpotFutureSpread_30_True,-0.003448865268840663,0.3999999999999999,0.5323741007194245,-0.015610892210502502,0.6097686500810376,0.039625712681214204,0.0
SpotFutureSpread_60_True,-0.006632883425588833,-0.40000000000000013,0.5419664268585132,-0.023243545632459086,0.6225591751319224,0.047215671165791326,0.0
SpotFutureSpread_90_True,-0.002788779406888979,-0.40000000000000013,0.5515587529976019,-0.022741366417559163,0.626431163882845,0.0664204477733726,0.0
SpotFutureSpread_120_True,0.0025824329855410662,-0.40000000000000013,0.5443645083932853,-0.03026541280878001,0.6303684563135956,0.11421449143420313,0.0
SpotFutureSpread_180_True,0.008477429023058865,-0.40000000000000013,0.5419664268585132,-0.04308452049960203,0.6335413673162767,0.14687122612278383,0.0
SpotFutureSpread_365_True,0.004767129129294839,-0.6000000000000001,0.5203836930455635,-0.042733647487135186,0.6288198655999464,0.14368556840049046,0.0
