,SpotFutureSpread_7_True,SpotFutureSpread_14_True,SpotFutureSpread_30_True
SpotFutureSpread_7_True,1.0,0.9237247605255121,0.8234001031320425
SpotFutureSpread_14_True,0.9237247605255121,1.0,0.9082784545798342
SpotFutureSpread_30_True,0.8234001031320425,0.9082784545798342,1.0
