timestamp,returns
2022-01-21,18.4
2022-01-22,20.6
2022-01-23,22.0
2022-01-24,22.2
2022-01-25,22.0
2022-01-26,21.6
2022-01-27,21.4
2022-01-28,19.6
2022-01-29,18.4
2022-01-30,16.4
2022-01-31,15.8
2022-02-01,14.0
2022-02-02,13.2
2022-02-03,11.8
2022-02-04,12.6
2022-02-05,13.2
2022-02-06,12.6
2022-02-07,12.2
2022-02-08,12.0
2022-02-09,12.0
2022-02-10,11.0
2022-02-11,13.6
2022-02-12,16.2
2022-02-13,18.8
2022-02-14,20.2
2022-02-15,20.6
2022-02-16,17.8
2022-02-17,14.8
2022-02-18,11.6
2022-02-19,10.0
2022-02-20,10.6
2022-02-21,12.4
2022-02-22,15.6
2022-02-23,18.4
2022-02-24,20.2
2022-02-25,19.8
2022-02-26,18.2
2022-02-27,15.8
2022-02-28,13.2
2022-03-01,12.6
2022-03-02,12.6
2022-03-03,14.6
2022-03-04,16.2
2022-03-05,17.6
2022-03-06,15.2
2022-03-07,14.0
2022-03-08,13.8
2022-03-09,14.0
2022-03-10,15.2
2022-03-11,16.6
2022-03-12,16.6
2022-03-13,14.6
2022-03-14,14.0
2022-03-15,14.2
2022-03-16,14.8
2022-03-17,14.2
2022-03-18,14.0
2022-03-19,12.2
2022-03-20,9.8
2022-03-21,7.0
2022-03-22,7.2
2022-03-23,8.4
2022-03-24,8.4
2022-03-25,8.2
2022-03-26,9.8
2022-03-27,10.6
2022-03-28,11.6
2022-03-29,13.0
2022-03-30,14.8
2022-03-31,14.2
2022-04-01,13.4
2022-04-02,10.6
2022-04-03,10.2
2022-04-04,7.8
2022-04-05,8.6
2022-04-06,10.4
2022-04-07,13.6
2022-04-08,14.8
2022-04-09,17.6
2022-04-10,16.2
2022-04-11,16.2
2022-04-12,16.4
2022-04-13,16.0
2022-04-14,14.2
2022-04-15,13.6
2022-04-16,13.0
2022-04-17,11.6
2022-04-18,12.4
2022-04-19,14.6
2022-04-20,17.2
2022-04-21,17.2
2022-04-22,17.8
2022-04-23,17.4
2022-04-24,16.8
2022-04-25,17.6
2022-04-26,18.6
2022-04-27,19.4
2022-04-28,19.4
2022-04-29,19.6
2022-04-30,19.6
2022-05-01,19.8
2022-05-02,20.2
2022-05-03,20.0
2022-05-04,17.8
2022-05-05,14.4
2022-05-06,11.2
2022-05-07,8.6
2022-05-08,8.4
2022-05-09,9.8
2022-05-10,12.8
2022-05-11,15.8
2022-05-12,18.4
2022-05-13,19.6
2022-05-14,21.0
2022-05-15,18.0
2022-05-16,15.6
2022-05-17,13.8
2022-05-18,11.0
2022-05-19,10.6
2022-05-20,13.4
2022-05-21,15.0
2022-05-22,13.8
2022-05-23,13.6
2022-05-24,11.6
2022-05-25,11.6
2022-05-26,12.0
2022-05-27,14.8
2022-05-28,17.6
2022-05-29,20.4
2022-05-30,18.6
2022-05-31,15.8
2022-06-01,13.4
2022-06-02,12.6
2022-06-03,12.0
2022-06-04,15.0
2022-06-05,16.4
2022-06-06,17.8
2022-06-07,16.6
2022-06-08,16.0
2022-06-09,14.8
2022-06-10,15.0
2022-06-11,15.4
2022-06-12,17.8
2022-06-13,19.0
2022-06-14,17.8
2022-06-15,16.0
2022-06-16,12.6
2022-06-17,8.8
2022-06-18,5.2
2022-06-19,4.2
2022-06-20,5.0
2022-06-21,5.2
2022-06-22,6.0
2022-06-23,5.8
2022-06-24,5.8
2022-06-25,4.6
2022-06-26,4.4
2022-06-27,4.8
2022-06-28,8.0
2022-06-29,11.0
2022-06-30,15.2
2022-07-01,18.4
2022-07-02,19.4
2022-07-03,16.2
2022-07-04,13.2
2022-07-05,10.2
2022-07-06,9.4
2022-07-07,8.8
2022-07-08,11.4
2022-07-09,13.6
2022-07-10,15.2
2022-07-11,15.0
2022-07-12,15.6
2022-07-13,15.6
2022-07-14,15.0
2022-07-15,13.6
2022-07-16,12.4
2022-07-17,10.8
2022-07-18,8.6
2022-07-19,6.8
2022-07-20,6.6
2022-07-21,9.2
2022-07-22,11.6
2022-07-23,14.2
2022-07-24,13.8
2022-07-25,15.2
2022-07-26,14.6
2022-07-27,15.0
2022-07-28,14.2
2022-07-29,14.6
2022-07-30,13.0
2022-07-31,10.4
2022-08-01,8.6
2022-08-02,9.4
2022-08-03,11.8
2022-08-04,14.2
2022-08-05,14.4
2022-08-06,12.6
2022-08-07,9.4
2022-08-08,7.6
2022-08-09,6.2
2022-08-10,8.2
2022-08-11,10.0
2022-08-12,12.2
2022-08-13,12.2
2022-08-14,12.2
2022-08-15,12.0
2022-08-16,13.2
2022-08-17,13.6
2022-08-18,15.4
2022-08-19,16.6
2022-08-20,18.0
2022-08-21,18.8
2022-08-22,18.0
2022-08-23,18.0
2022-08-24,16.4
2022-08-25,14.2
2022-08-26,11.8
2022-08-27,13.2
2022-08-28,13.0
2022-08-29,14.4
2022-08-30,13.6
2022-08-31,12.8
2022-09-01,11.0
2022-09-02,9.8
2022-09-03,8.6
2022-09-04,8.2
2022-09-05,7.8
2022-09-06,6.6
2022-09-07,7.6
2022-09-08,8.0
2022-09-09,10.2
2022-09-10,12.6
2022-09-11,15.8
2022-09-12,17.0
2022-09-13,18.0
2022-09-14,18.6
2022-09-15,18.0
2022-09-16,16.0
2022-09-17,14.6
2022-09-18,13.2
2022-09-19,12.8
2022-09-20,14.0
2022-09-21,15.6
2022-09-22,14.8
2022-09-23,13.8
2022-09-24,11.6
2022-09-25,8.4
2022-09-26,8.0
2022-09-27,10.0
2022-09-28,12.6
2022-09-29,15.4
2022-09-30,16.8
2022-10-01,16.6
2022-10-02,15.0
2022-10-03,14.8
2022-10-04,14.6
2022-10-05,16.6
2022-10-06,16.0
2022-10-07,16.8
2022-10-08,14.8
2022-10-09,13.6
2022-10-10,10.6
2022-10-11,12.6
2022-10-12,13.2
2022-10-13,16.0
2022-10-14,17.8
2022-10-15,20.4
2022-10-16,18.4
2022-10-17,16.4
2022-10-18,14.0
2022-10-19,12.2
2022-10-20,11.8
2022-10-21,13.0
2022-10-22,14.8
2022-10-23,15.0
2022-10-24,14.4
2022-10-25,12.2
2022-10-26,11.0
2022-10-27,10.0
2022-10-28,10.4
2022-10-29,10.4
2022-10-30,10.2
2022-10-31,8.8
2022-11-01,7.2
2022-11-02,7.2
2022-11-03,8.0
2022-11-04,9.2
2022-11-05,9.2
2022-11-06,9.4
2022-11-07,9.8
2022-11-08,11.0
2022-11-09,13.2
2022-11-10,15.8
2022-11-11,17.4
2022-11-12,16.8
2022-11-13,15.8
2022-11-14,15.0
2022-11-15,15.0
2022-11-16,15.2
2022-11-17,14.8
2022-11-18,15.2
2022-11-19,15.6
2022-11-20,14.6
2022-11-21,15.6
2022-11-22,17.6
2022-11-23,18.0
2022-11-24,15.0
2022-11-25,14.6
2022-11-26,12.2
2022-11-27,10.4
2022-11-28,9.0
2022-11-29,11.0
2022-11-30,12.0
2022-12-01,11.6
2022-12-02,12.0
2022-12-03,11.6
2022-12-04,12.0
2022-12-05,10.2
2022-12-06,11.2
2022-12-07,11.6
2022-12-08,13.6
2022-12-09,14.6
2022-12-10,17.4
2022-12-11,18.4
2022-12-12,20.0
2022-12-13,20.4
2022-12-14,20.2
2022-12-15,19.6
2022-12-16,19.8
2022-12-17,19.8
2022-12-18,20.0
2022-12-19,20.6
2022-12-20,20.0
2022-12-21,20.4
2022-12-22,18.8
2022-12-23,16.0
2022-12-24,13.4
2022-12-25,12.6
2022-12-26,13.0
2022-12-27,12.8
2022-12-28,13.8
2022-12-29,15.0
2022-12-30,16.8
2022-12-31,16.0
2023-01-01,15.8
2023-01-02,16.0
2023-01-03,13.8
2023-01-04,10.4
2023-01-05,7.6
2023-01-06,6.8
2023-01-07,6.6
2023-01-08,8.0
2023-01-09,8.0
2023-01-10,7.8
2023-01-11,6.8
2023-01-12,6.8
2023-01-13,7.4
2023-01-14,10.0
2023-01-15,12.6
2023-01-16,14.4
2023-01-17,14.8
2023-01-18,14.8
2023-01-19,15.8
2023-01-20,16.8
2023-01-21,17.8
2023-01-22,17.4
2023-01-23,16.4
2023-01-24,14.4
2023-01-25,13.8
2023-01-26,14.2
2023-01-27,15.8
2023-01-28,14.6
2023-01-29,14.4
2023-01-30,12.6
2023-01-31,12.0
2023-02-01,11.0
2023-02-02,12.4
2023-02-03,11.6
2023-02-04,10.6
2023-02-05,8.8
2023-02-06,7.8
2023-02-07,9.2
2023-02-08,10.2
2023-02-09,12.2
2023-02-10,14.0
2023-02-11,15.8
2023-02-12,15.6
2023-02-13,16.6
2023-02-14,17.8
2023-02-15,17.8
2023-02-16,16.6
2023-02-17,16.2
2023-02-18,16.4
2023-02-19,15.6
2023-02-20,14.2
2023-02-21,13.6
2023-02-22,13.6
2023-02-23,14.4
2023-02-24,14.8
2023-02-25,16.0
2023-02-26,17.6
2023-02-27,18.4
2023-02-28,18.2
2023-03-01,18.6
2023-03-02,19.0
2023-03-03,19.0
2023-03-04,18.0
2023-03-05,17.6
2023-03-06,17.0
2023-03-07,17.4
2023-03-08,16.8
2023-03-09,17.2
2023-03-10,16.6
2023-03-11,16.4
2023-03-12,15.4
2023-03-13,15.8
2023-03-14,16.8
2023-03-15,17.6
2023-03-16,19.0
2023-03-17,20.2
2023-03-18,20.6
2023-03-19,20.0
2023-03-20,19.6
2023-03-21,19.6
2023-03-22,19.4
2023-03-23,19.2
2023-03-24,17.6
2023-03-25,18.0
2023-03-26,16.8
2023-03-27,16.8
2023-03-28,17.4
2023-03-29,17.8
2023-03-30,17.0
2023-03-31,15.8
2023-04-01,14.6
2023-04-02,11.4
2023-04-03,11.4
2023-04-04,10.8
2023-04-05,9.6
2023-04-06,7.4
2023-04-07,8.4
2023-04-08,9.6
2023-04-09,11.6
2023-04-10,15.0
2023-04-11,18.8
2023-04-12,20.8
2023-04-13,21.2
2023-04-14,17.8
2023-04-15,14.2
2023-04-16,10.4
2023-04-17,7.0
2023-04-18,3.6
2023-04-19,4.0
2023-04-20,7.4
2023-04-21,11.2
2023-04-22,14.8
2023-04-23,18.2
2023-04-24,20.6
2023-04-25,20.4
2023-04-26,20.2
2023-04-27,20.2
2023-04-28,20.4
2023-04-29,20.8
2023-04-30,19.6
2023-05-01,17.0
2023-05-02,14.8
2023-05-03,14.8
2023-05-04,14.2
2023-05-05,15.8
2023-05-06,17.6
2023-05-07,19.6
2023-05-08,19.0
2023-05-09,19.6
2023-05-10,19.4
2023-05-11,18.4
2023-05-12,16.0
2023-05-13,12.8
2023-05-14,9.6
2023-05-15,6.4
2023-05-16,7.8
2023-05-17,7.4
2023-05-18,8.4
2023-05-19,9.2
2023-05-20,11.4
2023-05-21,11.8
2023-05-22,14.4
2023-05-23,15.8
2023-05-24,17.4
2023-05-25,16.2
2023-05-26,15.4
