fundingTime,symbol,fundingRate
2020-01-09 08:00:00.000,LTCUSDT,0.0001
2020-01-09 16:00:00.000,LTCUSDT,0.0001
2020-01-10 00:00:00.000,LTCUSDT,0.0001
2020-01-10 08:00:00.000,LTCUSDT,-0.00016501
2020-01-10 16:00:00.000,LTCUSDT,0.0001
2020-01-11 00:00:00.000,LTCUSDT,-8.34e-05
2020-01-11 08:00:00.000,LTCUSDT,0.0001
2020-01-11 16:00:00.000,LTCUSDT,0.00030815
2020-01-12 00:00:00.000,LTCUSDT,9.409e-05
2020-01-12 08:00:00.000,LTCUSDT,0.0001
2020-01-12 16:00:00.000,LTCUSDT,0.0001
2020-01-13 00:00:00.001,LTCUSDT,0.0001
2020-01-13 08:00:00.000,LTCUSDT,0.0001
2020-01-13 16:00:00.000,LTCUSDT,0.0001
2020-01-14 00:00:00.000,LTCUSDT,0.0001
2020-01-14 08:00:00.000,LTCUSDT,0.0001
2020-01-14 16:00:00.001,LTCUSDT,0.0001
2020-01-15 00:00:00.000,LTCUSDT,0.00061688
2020-01-15 08:00:00.000,LTCUSDT,0.00038757
2020-01-15 16:00:00.000,LTCUSDT,0.00019672
2020-01-16 00:00:00.000,LTCUSDT,0.0001
2020-01-16 08:00:00.000,LTCUSDT,0.0001
2020-01-16 16:00:00.000,LTCUSDT,0.0001
2020-01-17 00:00:00.000,LTCUSDT,0.00038011
2020-01-17 08:00:00.000,LTCUSDT,0.00089497
2020-01-17 16:00:00.000,LTCUSDT,0.0006264
2020-01-18 00:00:00.001,LTCUSDT,0.00072004
2020-01-18 08:00:00.001,LTCUSDT,0.000704
2020-01-18 16:00:00.000,LTCUSDT,0.00086863
2020-01-19 00:00:00.000,LTCUSDT,0.00031874
2020-01-19 08:00:00.000,LTCUSDT,0.00043069
2020-01-19 16:00:00.000,LTCUSDT,0.0001
2020-01-20 00:00:00.000,LTCUSDT,0.0001
2020-01-20 08:00:00.000,LTCUSDT,0.0001
2020-01-20 16:00:00.000,LTCUSDT,0.0001
2020-01-21 00:00:00.000,LTCUSDT,0.0001
2020-01-21 08:00:00.000,LTCUSDT,0.0001
2020-01-21 16:00:00.000,LTCUSDT,0.0
2020-01-22 00:00:00.000,LTCUSDT,0.0
2020-01-22 08:00:00.001,LTCUSDT,0.0
2020-01-22 16:00:00.000,LTCUSDT,5.852e-05
2020-01-23 00:00:00.000,LTCUSDT,0.0
2020-01-23 08:00:00.000,LTCUSDT,0.0
2020-01-23 16:00:00.000,LTCUSDT,0.0
2020-01-24 00:00:00.000,LTCUSDT,0.00050623
2020-01-24 08:00:00.000,LTCUSDT,0.0
2020-01-24 16:00:00.001,LTCUSDT,0.00021518
2020-01-25 00:00:00.000,LTCUSDT,0.0
2020-01-25 08:00:00.000,LTCUSDT,0.00032998
2020-01-25 16:00:00.001,LTCUSDT,3.385e-05
2020-01-26 00:00:00.000,LTCUSDT,0.0
