,weilun04_2,weilun04_3,weilun04_5,weilun04_10,weilun04_20,weilun04_50,weilun04_100,weilun04_200,weilun04_300,weilun04_400
weilun04_2,1.0,0.6657674660917609,0.48317612569752805,0.1965964418176516,-0.06162919279012631,0.03459281008006515,0.08692139736143945,0.05551464834406039,-0.21562425714892164,0.0414336742368806
weilun04_3,0.6657674660917609,1.0,0.6483903847042269,0.3930626655731024,0.07527908426824984,0.20849776146973004,0.2724858471545272,0.08720970681774796,0.030943527144394082,0.0012291147589944826
weilun04_5,0.48317612569752805,0.6483903847042269,1.0,0.3638407123179194,0.2331649121468794,0.16914412379167348,0.17330585681361485,0.14021736910898244,0.09927157079516993,-0.06468286250387584
weilun04_10,0.1965964418176516,0.3930626655731024,0.3638407123179194,1.0,0.4254621545435364,0.165359623692349,0.1269178715090213,0.04867102337666945,-0.04915504888954901,0.11210617353720762
weilun04_20,-0.06162919279012631,0.07527908426824984,0.2331649121468794,0.4254621545435364,1.0,0.6103936652646472,0.4448553068589379,0.20380195217181904,0.018035268002797592,0.23829488544928282
weilun04_50,0.03459281008006515,0.20849776146973004,0.16914412379167348,0.165359623692349,0.6103936652646472,1.0,0.6058947880658376,0.27096335003048033,0.1854618022148097,0.43690008683673626
weilun04_100,0.08692139736143945,0.2724858471545272,0.17330585681361485,0.1269178715090213,0.4448553068589379,0.6058947880658376,1.0,0.5188133631513409,0.31210909454785185,0.056033789837003495
weilun04_200,0.05551464834406039,0.08720970681774796,0.14021736910898244,0.04867102337666945,0.20380195217181904,0.27096335003048033,0.5188133631513409,1.0,0.5974640398249482,0.1746897155083823
weilun04_300,-0.21562425714892164,0.030943527144394082,0.09927157079516993,-0.04915504888954901,0.018035268002797592,0.1854618022148097,0.31210909454785185,0.5974640398249482,1.0,0.514723884999996
weilun04_400,0.0414336742368806,0.0012291147589944826,-0.06468286250387584,0.11210617353720762,0.23829488544928282,0.43690008683673626,0.056033789837003495,0.1746897155083823,0.514723884999996,1.0
