,bang03_5_1.0_DPO_20_5,bang03_5_1.0_DPO_20_10,bang03_5_1.0_DPO_30_5,bang03_5_1.0_DPO_30_10,bang03_5_1.0_DPO_30_20,bang03_5_1.0_DPO_50_10,bang03_5_1.0_DPO_50_20,bang03_5_1.0_DPO_50_30,bang03_5_1.0_DPO_50_40,bang03_10_1.0_DPO_20_5,bang03_10_1.0_DPO_20_10,bang03_10_1.0_DPO_30_5,bang03_10_1.0_DPO_30_10,bang03_10_1.0_DPO_30_20,bang03_10_1.0_DPO_50_10,bang03_10_1.0_DPO_50_20,bang03_10_1.0_DPO_50_30,bang03_10_1.0_DPO_50_40,bang03_20_1.0_DPO_20_5,bang03_20_1.0_DPO_20_10,bang03_20_1.0_DPO_30_5,bang03_20_1.0_DPO_30_10,bang03_20_1.0_DPO_30_20,bang03_20_1.0_DPO_50_10,bang03_20_1.0_DPO_50_20,bang03_20_1.0_DPO_50_30,bang03_20_1.0_DPO_50_40
bang03_10_1.0_DPO_20_10,0.6615262243152417,0.6655204377317561,0.6727378085786947,0.6660659643608101,0.6658244962341474,0.6515249645529115,0.6453580664924076,0.6519402619248983,0.644437704541557,0.9339648923677981,1.0,0.9746168889446016,0.9696606981459316,0.9279446392073117,0.9285585041798734,0.9010510290306649,0.8855680905578822,0.8702231341763863,0.6773228332451526,0.6901467926422951,0.6959754648185943,0.683491264736596,0.6643239559859274,0.6538767911687797,0.6548014119177128,0.652963388943583,0.640634128219497
bang03_10_1.0_DPO_30_5,0.6647125914086657,0.6579246281424416,0.6760044810465635,0.658417788211445,0.6689304645916155,0.6546343057501344,0.6483117424876728,0.6442562401061092,0.6370378772791688,0.9489342806394313,0.9746168889446016,1.0,0.9644538898004007,0.9223235732456075,0.9333633492887762,0.8957018490589358,0.8800718999157238,0.8552419451759862,0.6715006599503982,0.6750651631154717,0.690101313950916,0.6680822158451472,0.65835584091625,0.6476791478463445,0.6487863121563546,0.6471794817083495,0.6254047814362506
bang03_10_1.0_DPO_30_10,0.6615262243152412,0.665520437731756,0.6727378085786946,0.687516863563095,0.6974709707021284,0.684064533717087,0.6770180071877338,0.6626071104581516,0.6548148811141049,0.9238018932235975,0.9696606981459316,0.9644538898004007,1.0,0.9485927852196109,0.9490005674449006,0.9109655838750154,0.8855680905578823,0.8702231341763862,0.667884541324469,0.6714343182069084,0.6768500562735806,0.6834912647365957,0.6643239559859275,0.6538767911687792,0.6548014119177127,0.6435946066942365,0.6313153225175578
bang03_10_1.0_DPO_30_20,0.6644430598444147,0.6575116782110836,0.675701062083751,0.679960963773813,0.7335588932215669,0.7094078022033252,0.712688419142717,0.7090980721572462,0.6896624842010185,0.8808235233245462,0.9279446392073117,0.9223235732456075,0.9485927852196109,1.0,0.9583636938342889,0.9502122774258586,0.9243809273725726,0.8784914021830079,0.6625471047609797,0.6663384675315477,0.6909700258229003,0.6880222593659362,0.6879038115273263,0.6775259197749491,0.6976250082085225,0.6761492788404742,0.653998586564253
bang03_10_1.0_DPO_50_10,0.6579676165728389,0.6511586673331701,0.6690629970674806,0.6626487687013415,0.7052751877332329,0.7025392542735797,0.7060390335057651,0.6916046590315106,0.6830831744989132,0.9128204238977312,0.9285585041798734,0.9333633492887762,0.9490005674449006,0.9583636938342889,1.0,0.9604303839320993,0.9349988892619919,0.898706353361465,0.6743673184394923,0.6685044980811335,0.6834667024188635,0.6804109411865829,0.6707629740977983,0.6897191736405328,0.6996354913858508,0.6875150103384341,0.6656252661082229
bang03_10_1.0_DPO_50_20,0.658990541471244,0.6524545862985593,0.6701620478941032,0.6635042847248274,0.7148030234396324,0.7025353497463818,0.7258031811312343,0.7228004740170831,0.7131733311004194,0.8757749015867227,0.9010510290306649,0.8957018490589358,0.9109655838750154,0.9502122774258586,0.9604303839320993,1.0,0.9756080103958744,0.9290871266227129,0.6732782652523296,0.6674249129138798,0.6823117040850203,0.6794142645457343,0.6792883717642435,0.689096604673408,0.7166307414243678,0.7136228588154415,0.6920078357010598
bang03_10_1.0_DPO_50_30,0.6515373167601521,0.6554457275787648,0.673287579439746,0.6770614768828088,0.7180161067767098,0.7057627360112126,0.729018121548031,0.7470635231375213,0.7368495912919274,0.8600504818167505,0.8855680905578822,0.8800718999157238,0.8855680905578823,0.9243809273725726,0.9349988892619919,0.9756080103958744,1.0,0.9527532923032204,0.6581908389302251,0.6524686537877198,0.6670033997375485,0.6548401518383647,0.6734461165959404,0.6831263951794148,0.720345371788835,0.7358640573342498,0.7139794493353661
bang03_10_1.0_DPO_50_40,0.6233035174326641,0.6373617526252641,0.6442236402190606,0.6584738549455166,0.6781281831534252,0.6655055983197065,0.688912502297287,0.7061431754860892,0.7265211941058654,0.8357789853418356,0.8702231341763863,0.8552419451759862,0.8702231341763862,0.8784914021830079,0.898706353361465,0.9290871266227129,0.9527532923032204,1.0,0.6301831154483102,0.6336633970573602,0.6386669153465531,0.6358694194767609,0.6449267459233036,0.6632556070507948,0.7087542751113969,0.7414714402808249,0.7469565712855308
bang03_20_1.0_DPO_20_5,0.46864453326762845,0.4616770838190544,0.4561326506397888,0.4624809047327902,0.4847325986887702,0.4670169544249799,0.4757558560803176,0.4802008555785476,0.4474633873933437,0.6715006599503982,0.6773228332451526,0.6715006599503982,0.667884541324469,0.6625471047609797,0.6743673184394923,0.6732782652523296,0.6581908389302251,0.6301831154483102,1.0,0.9563784669179676,0.9599357298817057,0.937837993565471,0.8756195164059503,0.8911024935144098,0.8489580935234752,0.8253234977591704,0.8131062239579032
bang03_20_1.0_DPO_20_10,0.4842965939973495,0.48742345021343436,0.47223327870086595,0.47830570042235443,0.4902777781462992,0.47299156882934784,0.4716197257513885,0.4760260812749795,0.4627743258809581,0.6562603604287672,0.6901467926422951,0.6750651631154717,0.6714343182069084,0.6663384675315477,0.6685044980811335,0.6674249129138798,0.6524686537877198,0.6336633970573602,0.9563784669179676,1.0,0.9604372649040995,0.9649470400503647,0.9032465594034105,0.8924255862871211,0.8503872922508391,0.8268159168369403,0.8232800086179728
bang03_20_1.0_DPO_30_5,0.5049915083120322,0.49808161733114575,0.49285914384660306,0.48871364250251503,0.5109029533975791,0.49358634086080105,0.4917891329906321,0.4964464732243528,0.4728443049251163,0.6708815397177724,0.6959754648185943,0.690101313950916,0.6768500562735806,0.6909700258229003,0.6834667024188635,0.6823117040850203,0.6670033997375485,0.6386669153465531,0.9599357298817057,0.9604372649040995,1.0,0.968568761795374,0.9054747041537398,0.9125220822656452,0.8694575512406297,0.8277289057920338,0.8065202994406401
bang03_20_1.0_DPO_30_10,0.49337110704993503,0.4966052583445695,0.4810385265443848,0.4975228017605385,0.519531664998099,0.5023491168004546,0.500634290120392,0.49519289119513615,0.4813674162608364,0.6585064632707153,0.683491264736596,0.6680822158451472,0.6834912647365957,0.6880222593659362,0.6804109411865829,0.6794142645457343,0.6548401518383647,0.6358694194767609,0.937837993565471,0.9649470400503647,0.968568761795374,1.0,0.9282651175265361,0.926550691502095,0.8834035935892948,0.8324648176390457,0.8202618139294043
bang03_20_1.0_DPO_30_20,0.49290495218580055,0.4960873881822215,0.49083862849625415,0.5070058402658278,0.5486565720632481,0.5222515331322197,0.5296880064246565,0.5246632543840501,0.5003137241279557,0.6487863121563551,0.6643239559859274,0.65835584091625,0.6643239559859275,0.6879038115273263,0.6707629740977983,0.6792883717642435,0.6734461165959404,0.6449267459233036,0.8756195164059503,0.9032465594034105,0.9054747041537398,0.9282651175265361,1.0,0.9544453717793917,0.9193017413150832,0.8679776172124092,0.8466884195270149
bang03_20_1.0_DPO_50_10,0.4870973027533895,0.4903567834252926,0.4845174644612935,0.49139562491362676,0.5246531957499722,0.527573031833533,0.5359967101986669,0.5305231877138022,0.5056188721084904,0.6476791478463442,0.6538767911687797,0.6476791478463445,0.6538767911687792,0.6775259197749491,0.6897191736405328,0.689096604673408,0.6831263951794148,0.6632556070507948,0.8911024935144098,0.8924255862871211,0.9125220822656452,0.926550691502095,0.9544453717793917,1.0,0.9544453717793916,0.9011249618048401,0.8794285999586073
bang03_20_1.0_DPO_50_20,0.48286645109346865,0.4859910270226777,0.48062721180291496,0.4969067054568375,0.5486565720632481,0.5426778094398944,0.5694362091906175,0.5748830331954337,0.5491697203985877,0.6487863121563551,0.6548014119177128,0.6487863121563546,0.6548014119177127,0.6976250082085225,0.6996354913858508,0.7166307414243678,0.720345371788835,0.7087542751113969,0.8489580935234752,0.8503872922508391,0.8694575512406297,0.8834035935892948,0.9193017413150832,0.9544453717793916,1.0,0.9473728300992711,0.925660109002274
bang03_20_1.0_DPO_50_30,0.4951086293847357,0.49839422820849677,0.4931536575935336,0.5093312140938346,0.5502307147036114,0.5443516792014759,0.5708681795353512,0.5860322002480332,0.560086346542663,0.6471794817083493,0.652963388943583,0.6471794817083495,0.6435946066942365,0.6761492788404742,0.6875150103384341,0.7136228588154415,0.7358640573342498,0.7414714402808249,0.8253234977591704,0.8268159168369403,0.8277289057920338,0.8324648176390457,0.8679776172124092,0.9011249618048401,0.9473728300992711,1.0,0.9785257729813108
bang03_20_1.0_DPO_50_40,0.47260653047620066,0.4855688765814693,0.47039228920933585,0.506184554874917,0.5370822140025581,0.5311635826164199,0.5574643110026204,0.5725784506950875,0.5758071753337333,0.6254047814362506,0.640634128219497,0.6254047814362506,0.6313153225175578,0.653998586564253,0.6656252661082229,0.6920078357010598,0.7139794493353661,0.7469565712855308,0.8131062239579032,0.8232800086179728,0.8065202994406401,0.8202618139294043,0.8466884195270149,0.8794285999586073,0.925660109002274,0.9785257729813108,1.0
