timestamp,Momentum_20
2023-02-28 16:00:00,1.0
2023-03-03 16:00:00,0.0
2023-03-06 16:00:00,1.0
2023-03-09 16:00:00,0.0
2023-03-12 16:00:00,0.0
2023-03-15 16:00:00,1.0
2023-03-18 16:00:00,1.0
2023-03-21 16:00:00,1.0
2023-03-24 16:00:00,0.0
2023-03-27 16:00:00,0.0
2023-03-30 16:00:00,1.0
2023-04-02 16:00:00,0.0
2023-04-05 16:00:00,1.0
2023-04-08 16:00:00,0.0
2023-04-11 16:00:00,1.0
2023-04-14 16:00:00,1.0
2023-04-17 16:00:00,0.0
2023-04-20 16:00:00,0.0
2023-04-23 16:00:00,0.0
2023-04-26 16:00:00,1.0
2023-04-29 16:00:00,0.0
2023-05-02 16:00:00,0.0
2023-05-05 16:00:00,1.0
2023-05-08 16:00:00,0.0
2023-05-11 16:00:00,0.0
2023-05-14 16:00:00,0.0
2023-05-17 16:00:00,1.0
2023-05-20 16:00:00,1.0
2023-05-23 16:00:00,1.0
2023-05-26 16:00:00,0.0
2023-05-29 16:00:00,1.0
2023-06-01 16:00:00,0.0
2023-06-04 16:00:00,1.0
2023-06-07 16:00:00,0.0
2023-06-10 16:00:00,0.0
2023-06-13 16:00:00,1.0
2023-06-16 16:00:00,1.0
2023-06-19 16:00:00,1.0
2023-06-22 16:00:00,1.0
2023-06-25 16:00:00,1.0
2023-06-28 16:00:00,0.0
2023-07-01 16:00:00,1.0
2023-07-04 16:00:00,1.0
2023-07-07 16:00:00,0.0
2023-07-10 16:00:00,1.0
2023-07-13 16:00:00,1.0
2023-07-16 16:00:00,0.0
2023-07-19 16:00:00,0.0
2023-07-22 16:00:00,0.0
2023-07-25 16:00:00,0.0
2023-07-28 16:00:00,1.0
2023-07-31 16:00:00,0.0
2023-08-03 16:00:00,1.0
2023-08-06 16:00:00,0.0
2023-08-09 16:00:00,1.0
2023-08-12 16:00:00,0.0
2023-08-15 16:00:00,0.0
2023-08-18 16:00:00,0.0
2023-08-21 16:00:00,1.0
2023-08-24 16:00:00,1.0
2023-08-27 16:00:00,1.0
2023-08-30 16:00:00,1.0
2023-09-02 16:00:00,0.0
2023-09-05 16:00:00,0.0
2023-09-08 16:00:00,1.0
2023-09-11 16:00:00,0.0
2023-09-14 16:00:00,1.0
2023-09-17 16:00:00,0.0
2023-09-20 16:00:00,1.0
2023-09-23 16:00:00,0.0
2023-09-26 16:00:00,0.0
2023-09-29 16:00:00,1.0
2023-10-02 16:00:00,1.0
2023-10-05 16:00:00,0.0
2023-10-08 16:00:00,1.0
2023-10-11 16:00:00,0.0
2023-10-14 16:00:00,1.0
2023-10-17 16:00:00,1.0
2023-10-20 16:00:00,1.0
2023-10-23 16:00:00,1.0
2023-10-26 16:00:00,1.0
2023-10-29 16:00:00,1.0
2023-11-01 16:00:00,1.0
2023-11-04 16:00:00,1.0
2023-11-07 16:00:00,1.0
2023-11-10 16:00:00,1.0
2023-11-13 16:00:00,0.0
