,Momentum_5_linear,Momentum_10_linear,Momentum_20_linear,Momentum_30_linear
Momentum_5_linear,1.0,0.6005003829270293,0.3666516027282253,0.28201105515426783
Momentum_10_linear,0.6005003829270293,1.0,0.6287947399127588,0.49599480475473984
Momentum_20_linear,0.3666516027282253,0.6287947399127588,1.0,0.8150828597585698
Momentum_30_linear,0.28201105515426783,0.49599480475473984,0.8150828597585698,1.0
