,correlation,correlation_stable,accuracy,mean,std,skewness,zero_percent
Momentum_5_linear,0.00946417550034187,0.5999999999999999,0.5012106537530266,0.0011927850103334368,0.023176010306397942,-0.012682695207542862,0.0024154589371980675
Momentum_10_linear,0.005245099088122307,-0.40000000000000013,0.5012106537530266,0.002093797470355831,0.03454352650030693,0.27726245034899755,0.0024154589371980675
Momentum_20_linear,0.030137384707019575,0.8,0.5048543689320388,0.002121963535703035,0.05315382502665613,-0.23652480780281013,0.004830917874396135
Momentum_30_linear,0.023917530149607524,0.3999999999999999,0.5169902912621359,0.003264421611023179,0.06542546542656338,-0.08208106644608361,0.004830917874396135
