,weilunta_20_50_14,weilunta_20_200_14,weilunta_3_50_7,weilunta_5_50_30,weilunta_20_10_14,weilunta_20_100_14,weilunta_20_150_14,weilunta_20_100_7
weilunta_20_50_14,,,,,,,,
weilunta_20_200_14,,1.0,-0.003428399033411579,,-0.0034283990334115773,,0.4987893462469733,0.0017110875029138321
weilunta_3_50_7,,-0.003428399033411579,1.0,,-0.004854368932038833,,-0.003428399033411573,0.5039378398210844
weilunta_5_50_30,,,,,,,,
weilunta_20_10_14,,-0.0034283990334115773,-0.004854368932038833,,1.0,,-0.0034283990334115734,0.002422778076062904
weilunta_20_100_14,,,,,,,,
weilunta_20_150_14,,0.4987893462469733,-0.003428399033411573,,-0.0034283990334115734,,1.0,0.001711087502913833
weilunta_20_100_7,,0.0017110875029138321,0.5039378398210844,,0.002422778076062904,,0.001711087502913833,1.0
