,VolumeAnomaly_5_zscore,VolumeAnomaly_10_zscore,VolumeAnomaly_20_zscore
VolumeAnomaly_5_zscore,1.0,0.9132816550618306,0.7558848806150585
VolumeAnomaly_10_zscore,0.9132816550618306,1.0,0.8814024385454917
VolumeAnomaly_20_zscore,0.7558848806150585,0.8814024385454917,1.0
