,Cross_1_2,Cross_1_3,Cross_2_5,Cross_3_8,Cross_5_10,Cross_5_15,Cross_10_30,Cross_20_50,Cross_10_20
Cross_1_2,1.0,0.5511410475917585,-0.007268706176024862,0.0820047516330839,-0.04692148713375155,0.029497070854402944,0.035532053000109524,-0.043152120401348026,0.05891506099762937
Cross_1_3,0.5511410475917585,1.0,0.1403579712783064,0.01893014663762469,0.026175452809730854,-0.06983011099833718,0.018871407615465283,-0.020643445632341658,0.04425369579921863
Cross_2_5,-0.007268706176024862,0.1403579712783064,1.0,0.1015342609620285,0.05271170164140867,-0.037409255381468436,-0.05116372309936539,-1.4333865271297614e-17,-0.020045371317360918
Cross_3_8,0.0820047516330839,0.01893014663762469,0.1015342609620285,1.0,0.059919619351279554,0.0870104534202316,0.0006352423548456284,-0.0018758662080989867,-0.02090598809222509
Cross_5_10,-0.04692148713375155,0.026175452809730854,0.05271170164140867,0.059919619351279554,1.0,0.1789004127815668,-0.039867615145144086,-0.04652884055070289,0.03353637876024103
Cross_5_15,0.029497070854402944,-0.06983011099833718,-0.037409255381468436,0.0870104534202316,0.1789004127815668,1.0,-0.003120646929930804,0.009215248445906082,0.05770834235846524
Cross_10_30,0.035532053000109524,0.018871407615465283,-0.05116372309936539,0.0006352423548456284,-0.039867615145144086,-0.003120646929930804,1.0,0.0037810409346861087,0.08829042341133543
Cross_20_50,-0.043152120401348026,-0.020643445632341658,-1.4333865271297614e-17,-0.0018758662080989867,-0.04652884055070289,0.009215248445906082,0.0037810409346861087,1.0,0.011850954529595498
Cross_10_20,0.05891506099762937,0.04425369579921863,-0.020045371317360918,-0.02090598809222509,0.03353637876024103,0.05770834235846524,0.08829042341133543,0.011850954529595498,1.0
