,FundingRate_5_1.0,FundingRate_10_1.0,FundingRate_20_1.0,FundingRate_30_1.0,FundingRate_50_1.0,FundingRate_100_1.0,FundingRate_200_1.0
FundingRate_5_1.0,1.0,0.8487040494380067,0.7138342863521074,0.6593927754979679,0.586088353717297,0.5052938340151357,0.43163796897429396
FundingRate_10_1.0,0.8487040494380067,1.0,0.8962696461149439,0.8240651546411835,0.7324408221089331,0.6271993629758812,0.5386715009821751
FundingRate_20_1.0,0.7138342863521074,0.8962696461149439,1.0,0.9439300467516887,0.8474391197509353,0.7226381751852818,0.616885607063859
FundingRate_30_1.0,0.6593927754979679,0.8240651546411835,0.9439300467516887,1.0,0.9397846088124948,0.8178722298910095,0.6993618832892515
FundingRate_50_1.0,0.586088353717297,0.7324408221089331,0.8474391197509353,0.9397846088124948,1.0,0.9159275070974978,0.7827490901511888
FundingRate_100_1.0,0.5052938340151357,0.6271993629758812,0.7226381751852818,0.8178722298910095,0.9159275070974978,1.0,0.8941701249657565
FundingRate_200_1.0,0.43163796897429396,0.5386715009821751,0.616885607063859,0.6993618832892515,0.7827490901511888,0.8941701249657565,1.0
