,weilun03_3,weilun03_5,weilun03_10,weilun03_20,weilun03_50,weilun03_100,weilun03_200,weilun03_300,weilun03_400
weilun03_3,1.0,0.8768668382122958,0.5528549703595732,0.31036194719216265,0.14308934659731193,0.0476714734789582,0.04693774581491618,0.07790357597391807,0.02047703414271766
weilun03_5,0.8768668382122958,1.0,0.7189314720204386,0.4254559461342643,0.240514357398758,0.14290784369055717,0.09499348223327658,0.12821872576390198,0.04721033013172465
weilun03_10,0.5528549703595732,0.7189314720204386,1.0,0.6671142805717378,0.37805672064655904,0.2364164073582764,0.17505247118523007,0.13547551332096242,0.06573523771338975
weilun03_20,0.31036194719216265,0.4254559461342643,0.6671142805717378,1.0,0.5593829842040382,0.35949625035688654,0.21102499365676755,0.15048577865249926,0.08551977499723203
weilun03_50,0.14308934659731193,0.240514357398758,0.37805672064655904,0.5593829842040382,1.0,0.6453002324458149,0.39555986363626944,0.29985811802901713,0.22314619166599384
weilun03_100,0.0476714734789582,0.14290784369055717,0.2364164073582764,0.35949625035688654,0.6453002324458149,1.0,0.5907899397201886,0.46066161525306654,0.3647834386250925
weilun03_200,0.04693774581491618,0.09499348223327658,0.17505247118523007,0.21102499365676755,0.39555986363626944,0.5907899397201886,1.0,0.7221263222590257,0.5586289034711511
weilun03_300,0.07790357597391807,0.12821872576390198,0.13547551332096242,0.15048577865249926,0.29985811802901713,0.46066161525306654,0.7221263222590257,1.0,0.7731949465437825
weilun03_400,0.02047703414271766,0.04721033013172465,0.06573523771338975,0.08551977499723203,0.22314619166599384,0.3647834386250925,0.5586289034711511,0.7731949465437825,1.0
