timestamp,returns
2021-05-11,
2021-05-12,
2021-05-13,
2021-05-14,
2021-05-15,
2021-05-16,
2021-05-17,
2021-05-18,
2021-05-19,
2021-05-20,
2021-05-21,
2021-05-22,
2021-05-23,
2021-05-24,
2021-05-25,17.8
2021-05-26,20.0
2021-05-27,20.8
2021-05-28,21.4
2021-05-29,21.6
2021-05-30,20.0
2021-05-31,18.8
2021-06-01,16.4
2021-06-02,13.2
2021-06-03,9.2
2021-06-04,7.0
2021-06-05,4.8
2021-06-06,4.6
2021-06-07,5.4
2021-06-08,7.0
2021-06-09,8.4
2021-06-10,10.4
2021-06-11,12.6
2021-06-12,15.0
2021-06-13,17.0
2021-06-14,19.6
2021-06-15,21.2
2021-06-16,22.0
2021-06-17,22.4
2021-06-18,22.6
2021-06-19,22.4
2021-06-20,21.6
2021-06-21,20.6
2021-06-22,19.8
2021-06-23,19.8
2021-06-24,19.2
2021-06-25,19.2
2021-06-26,19.6
2021-06-27,20.2
2021-06-28,20.2
2021-06-29,20.6
2021-06-30,21.0
2021-07-01,20.4
2021-07-02,18.0
2021-07-03,15.4
2021-07-04,13.0
2021-07-05,10.6
2021-07-06,8.2
2021-07-07,6.8
2021-07-08,6.0
2021-07-09,5.8
2021-07-10,6.0
2021-07-11,7.2
2021-07-12,8.6
2021-07-13,10.6
2021-07-14,12.2
2021-07-15,13.6
2021-07-16,15.0
2021-07-17,17.0
2021-07-18,18.2
2021-07-19,18.8
2021-07-20,19.8
2021-07-21,20.4
2021-07-22,20.4
2021-07-23,20.4
2021-07-24,20.0
2021-07-25,19.4
2021-07-26,19.0
2021-07-27,18.4
2021-07-28,18.2
2021-07-29,18.6
2021-07-30,16.8
2021-07-31,15.4
2021-08-01,14.6
2021-08-02,13.4
2021-08-03,12.2
2021-08-04,13.0
2021-08-05,12.2
2021-08-06,11.2
2021-08-07,10.2
2021-08-08,8.8
2021-08-09,8.4
2021-08-10,9.0
2021-08-11,8.2
2021-08-12,7.2
2021-08-13,7.0
2021-08-14,5.8
2021-08-15,5.0
2021-08-16,5.0
2021-08-17,5.0
2021-08-18,5.6
2021-08-19,5.4
2021-08-20,4.8
2021-08-21,5.2
2021-08-22,6.4
2021-08-23,6.4
2021-08-24,7.0
2021-08-25,8.4
2021-08-26,9.6
2021-08-27,10.4
2021-08-28,11.0
2021-08-29,12.2
2021-08-30,12.8
2021-08-31,13.2
2021-09-01,13.0
2021-09-02,12.8
2021-09-03,11.8
2021-09-04,10.8
2021-09-05,9.2
2021-09-06,7.8
2021-09-07,7.8
2021-09-08,8.4
2021-09-09,9.0
2021-09-10,9.8
2021-09-11,11.4
2021-09-12,11.8
2021-09-13,12.0
2021-09-14,12.6
2021-09-15,13.4
2021-09-16,13.6
2021-09-17,14.2
2021-09-18,14.8
2021-09-19,15.2
2021-09-20,16.2
2021-09-21,17.2
2021-09-22,18.2
2021-09-23,18.8
2021-09-24,19.0
