,correlation,correlation_stable,accuracy,mean,std,skewness,zero_percent
bang02_short5_long10,0.00902756779967792,-0.40000000000000013,0.5206611570247934,0.19082125603864733,0.505823862273024,0.29006389925610754,0.7077294685990339
bang02_short5_long20,0.02440719857896223,0.5999999999999999,0.5086206896551724,0.18357487922705315,0.49648111790051863,0.3414789319250399,0.7198067632850241
bang02_short5_long30,-0.010215378133266308,-0.40000000000000013,0.5148514851485149,0.1473429951690821,0.4714354615762466,0.4396922134158276,0.7560386473429952
bang02_short5_long40,0.019652778674341186,-0.6000000000000001,0.5102040816326531,0.14009661835748793,0.4659269399489656,0.457501145535504,0.7632850241545893
bang02_short10_long15,-0.011542343476340772,-0.6000000000000001,0.5079365079365079,0.18357487922705315,0.5202384931968504,0.20197949490125583,0.6956521739130435
bang02_short10_long20,0.007660673786911742,-0.6000000000000001,0.5135135135135135,0.16666666666666666,0.49024296450964777,0.3566363601391008,0.7318840579710145
bang02_short10_long30,-0.008759911473794303,-0.40000000000000013,0.5,0.14492753623188406,0.46961889118897543,0.44571627887146276,0.7584541062801933
bang02_short10_long40,-0.009942123810521576,-0.40000000000000013,0.5,0.14009661835748793,0.4554405313774947,0.5329770383165119,0.7729468599033816
bang02_short10_long50,-0.010419808488925368,-0.40000000000000013,0.5111111111111111,0.14492753623188406,0.44315608264987416,0.6515361780619859,0.782608695652174
bang02_short20_long25,0.007374647033068617,-0.6000000000000001,0.5121951219512195,0.19082125603864733,0.510576828223917,0.2611852667658427,0.7028985507246377
bang02_short20_long30,-0.025053895399343027,-0.40000000000000013,0.5083333333333333,0.1932367149758454,0.5025083526162645,0.31349927801995064,0.7101449275362319
bang02_short20_long40,-0.028115679077600216,-0.40000000000000013,0.5087719298245614,0.1932367149758454,0.4878748720993156,0.41517647931473334,0.7246376811594203
bang02_short20_long45,-0.01455894286780639,-0.6000000000000001,0.504424778761062,0.1956521739130435,0.48442449024226863,0.44517499918682546,0.7270531400966184
bang02_short20_long50,-0.015372497617902546,-0.6000000000000001,0.5172413793103448,0.19806763285024154,0.49087926166428936,0.3997870946996163,0.7198067632850241
