,MarketParticipation_5,MarketParticipation_10,MarketParticipation_20
MarketParticipation_5,1.0,0.9965867098716858,0.9935161252595641
MarketParticipation_10,0.9965867098716858,1.0,0.9971279075548228
MarketParticipation_20,0.9935161252595641,0.9971279075548228,1.0
