,correlation,correlation_stable,accuracy,mean,std,skewness,zero_percent
weilun01_3_2,0.0,1.0,0.0,0.0,0.0,0.0,1.0
weilun01_5_2,0.0,1.0,0.0,0.0,0.0,0.0,1.0
weilun01_10_2,-0.011810257570606218,0.19999999999999996,0.6666666666666667,-0.0024154589371980675,0.08509137658844702,-3.849291961525932,0.9927536231884058
weilun01_20_2,-0.013503103044922003,0.40000000000000013,0.5,-0.004830917874396135,0.12028888500472205,-2.664692954488509,0.9855072463768116
weilun01_50_2,0.04768237783671039,0.3999999999999999,0.5555555555555556,-0.007246376811594203,0.14726377849928676,-2.1289746412626456,0.9782608695652174
weilun01_100_2,-0.033213428869390174,0.40000000000000013,0.6,-0.007246376811594203,0.10965757935088084,-5.316218297388867,0.9879227053140096
weilun01_200_2,0.059087415798902504,0.3999999999999999,0.8,-0.0024154589371980675,0.10987019725163438,-1.7616342258326865,0.9879227053140096
weilun01_300_2,-0.04159988433952845,0.3999999999999999,0.6666666666666666,-0.0024154589371980675,0.08509137658844704,-3.8492919615259322,0.9927536231884058
weilun01_3_1,0.006390038437364858,0.5999999999999999,0.5116279069767442,0.0024154589371980675,0.5582010107986848,0.0009091737849169376,0.6884057971014492
weilun01_5_1,-0.03955949032718008,-0.40000000000000013,0.5,-0.03864734299516908,0.4698176296198728,-0.12579492513813123,0.7777777777777778
weilun01_10_1,-0.05234696726962825,0.8,0.527027027027027,-0.004830917874396135,0.4227536204281967,-0.02976392645998,0.821256038647343
weilun01_20_1,-0.017206651617463726,-0.6000000000000001,0.5689655172413793,0.0,0.37429482812014375,0.0,0.8599033816425121
weilun01_50_1,-0.012458169474144954,-0.40000000000000013,0.5116279069767442,-0.016908212560386472,0.32183667697689416,-0.3507310036331816,0.8961352657004831
weilun01_100_1,0.02602274374555814,0.8,0.5227272727272727,-0.01932367149758454,0.3254332327168945,-0.38371306154961776,0.893719806763285
weilun01_200_1,0.03843523294599378,0.5999999999999999,0.5,-0.00966183574879227,0.3028103177626052,-0.253138625963067,0.9082125603864735
weilun01_300_1,0.058193195350519485,0.5999999999999999,0.525,-0.004830917874396135,0.3107973933616779,-0.11469673751103801,0.9033816425120773
weilun01_3_0.7,0.013532530653068597,-0.6000000000000001,0.5168067226890757,0.028985507246376812,0.7576536592816075,-0.04835700495089665,0.4251207729468599
weilun01_5_0.7,-0.04062004161127033,-0.40000000000000013,0.5100671140939598,-0.03140096618357488,0.5990971214796896,0.011393659452113843,0.6400966183574879
weilun01_10_0.7,-0.07250637509855504,0.5999999999999999,0.5043478260869565,0.0024154589371980675,0.5270407416281027,0.0027600962583487674,0.7222222222222222
weilun01_20_0.7,-0.036851546905517354,-0.40000000000000013,0.5104166666666667,-0.004830917874396135,0.4815191794762752,-0.013219154165106045,0.7681159420289855
weilun01_50_0.7,0.04189669538767448,0.5999999999999999,0.5256410256410257,-0.014492753623188406,0.43381534919118164,-0.07753641499771378,0.8115942028985508
weilun01_100_0.7,0.04892765607698276,0.8,0.5405405405405406,-0.01932367149758454,0.42233938612508126,-0.11958660738022352,0.821256038647343
weilun01_200_0.7,0.021419396537118315,-0.40000000000000013,0.5205479452054795,-0.016908212560386472,0.4195743256724269,-0.10834530937304548,0.8236714975845411
weilun01_300_0.7,0.018316188549580614,-0.40000000000000013,0.5135135135135135,-0.024154589371980676,0.422090650411648,-0.14988310693694984,0.821256038647343
weilun01_3_0.3,-0.017879418499041212,0.40000000000000013,0.5,0.043478260869565216,0.7882246168630231,-0.07714538806680139,0.37681159420289856
weilun01_5_0.3,-0.0666151444190997,1.8,0.5436893203883495,0.014492753623188406,0.7052478295997936,-0.020415641958651545,0.5024154589371981
weilun01_10_0.3,-0.027287004834127947,0.5999999999999999,0.518918918918919,-0.021739130434782608,0.6681222295280872,0.024846442875781676,0.5531400966183575
weilun01_20_0.3,-0.08291529480658986,0.5999999999999999,0.5297619047619048,-0.01932367149758454,0.6367289039843635,0.016276146532252306,0.5942028985507246
weilun01_50_0.3,-0.05277905302658009,0.8,0.5123456790123457,-0.01932367149758454,0.6252447069315664,0.01373981132454121,0.6086956521739131
weilun01_100_0.3,-0.0059403261167104236,0.3999999999999999,0.5032679738562091,-0.016908212560386472,0.6076835769866725,0.008176450092256331,0.6304347826086957
weilun01_200_0.3,-0.04656180479424462,1.4,0.5172413793103448,-0.021739130434782608,0.5914126783403103,0.005250472908357642,0.6497584541062802
weilun01_300_0.3,-0.00891043384426483,0.3999999999999999,0.5103448275862069,-0.04106280193236715,0.5903857994491255,0.009483315693151343,0.6497584541062802
