,weilun01_3_2,weilun01_5_2,weilun01_10_2,weilun01_20_2,weilun01_50_2,weilun01_100_2,weilun01_200_2,weilun01_300_2,weilun01_3_1,weilun01_5_1,weilun01_10_1,weilun01_20_1,weilun01_50_1,weilun01_100_1,weilun01_200_1,weilun01_300_1,weilun01_3_0.7,weilun01_5_0.7,weilun01_10_0.7,weilun01_20_0.7,weilun01_50_0.7,weilun01_100_0.7,weilun01_200_0.7,weilun01_300_0.7,weilun01_3_0.3,weilun01_5_0.3,weilun01_10_0.3,weilun01_20_0.3,weilun01_50_0.3,weilun01_100_0.3,weilun01_200_0.3,weilun01_300_0.3
weilun01_5_0.7,,,0.14065928909004313,0.16548455902893275,0.21644728903833524,0.14360628584262897,0.18232930323282612,0.14065928909004308,0.6430652099222638,0.7594593509384224,0.647921992818694,0.5709058186555487,0.47329407252741656,0.4924526322945192,0.45102780796618447,0.4402516996997234,0.7097608367752106,1.0,0.7346348081082571,0.6358334977257496,0.5651762462848311,0.560841038288659,0.574448150144378,0.5796757561878518,0.7036570944315866,0.7042559139793919,0.7103741240931195,0.6569478730810812,0.6367723466622693,0.655382435486761,0.652533254741249,0.6382943981936907
weilun01_10_0.7,,,0.1617114265006686,0.1906862512520039,0.21807552090482146,0.16747996459268852,0.20866774549372358,0.16171142650066844,0.599340107525917,0.6539603291089947,0.6830334694300456,0.661203895967429,0.5413731705112412,0.5495070989936346,0.5147390480167667,0.5161858399453458,0.6047262827966923,0.7346348081082571,1.0,0.7614792819646545,0.6551545355354763,0.6187510481128069,0.6337254464746097,0.6300261263329264,0.6160744093584132,0.6627537172353293,0.6723910936096803,0.6695362304933907,0.7038240276821457,0.7090615504179694,0.7053586052898191,0.7222611084823103
weilun01_20_0.7,,,0.11761974274371055,0.20810884810684252,0.237951297186091,0.18231861664152796,0.22806380075546792,0.17657201089854865,0.5032930583406854,0.5650655043657971,0.6287752290420564,0.7505165428761693,0.6229356876272067,0.6313911032827497,0.5960527859101729,0.5808909737148062,0.5168120151548328,0.6358334977257496,0.7614792819646545,1.0,0.7512782270570574,0.7121900563560805,0.6810739796184951,0.6768414676400234,0.5351366655899928,0.5834607565089025,0.622846002265512,0.6535929036026324,0.6736207730252192,0.651853074592627,0.6612229087346976,0.6620446223247406
weilun01_50_0.7,,,0.12992139395905986,0.23009875816280392,0.2630213193995209,0.20089523981397023,0.2526528446673917,0.19535625660997316,0.5188340782056732,0.5068571230398391,0.6186390774580401,0.7735426469180514,0.7248668024067187,0.716607908083263,0.6792737322040154,0.698166632184387,0.4936562813635461,0.5651762462848311,0.6551545355354763,0.7512782270570574,1.0,0.9081380740089798,0.8346924367044175,0.8027601331745634,0.49631599441211127,0.5217575455069495,0.5572721282715704,0.5848746448978963,0.5956173438743586,0.612962568908899,0.6201388094757446,0.6295550106153045
weilun01_100_0.7,,,0.1331269665361001,0.23589170715111993,0.26960538214671553,0.2055981644727778,0.2592665508915121,0.20033984964091167,0.5022440158187297,0.5196887011704877,0.6217897243111928,0.7334415099358181,0.7439622142962479,0.7354006479158186,0.7162534335452938,0.7353614975285278,0.48486184576391844,0.560841038288659,0.6187510481128069,0.7121900563560805,0.9081380740089798,1.0,0.8978051938487207,0.8374682346118598,0.48866548139335725,0.49562228604237146,0.5378016916159323,0.5644910724947595,0.5748593757194111,0.582242264234454,0.5978871293237301,0.6071167910268125
weilun01_200_0.7,,,0.13416771394540114,0.2376774741774465,0.2716654036761424,0.20733351701606983,0.26110172211881005,0.20182354046598103,0.5158423299586312,0.5235870976446211,0.5851001342055616,0.6767520872203069,0.7312797617458437,0.7405888897980991,0.7211573432927562,0.7402971283677404,0.4726401931007465,0.574448150144378,0.6337254464746097,0.6810739796184951,0.8346924367044175,0.8978051938487207,1.0,0.9387902754475611,0.4842646492205266,0.49877021032272184,0.5501497839870986,0.5593444597062976,0.5696182323979241,0.5862395128356774,0.6117731088456615,0.6115181943006239
weilun01_300_0.7,,,0.13288052626763244,0.23557106598446625,0.23034150726951955,0.15277684968449962,0.2591677161111255,0.20013301755711885,0.49233763630437366,0.5068729780350892,0.5949523414182972,0.6727175794250475,0.7082371533533571,0.7175698370948262,0.6974120102311897,0.7356169419331702,0.4629262371012112,0.5796757561878518,0.6300261263329264,0.6768414676400234,0.8027601331745634,0.8374682346118598,0.9387902754475611,1.0,0.47506451980807546,0.47992090984693564,0.5291810049954722,0.5554888711537336,0.5656918262307502,0.58226692431533,0.6074949237689097,0.606678518501968
weilun01_3_0.3,,,0.10960599757999748,0.15506877823442894,0.1899963177260964,0.14337227655835186,0.14066949028020503,0.10960599757999734,0.7079496263581583,0.5720031462531441,0.464549478356294,0.42573483028549086,0.36472220243856734,0.3799337766544121,0.3761986862161626,0.38539329335527134,0.8715301209651454,0.7036570944315866,0.6160744093584132,0.5351366655899928,0.49631599441211127,0.48866548139335725,0.4842646492205266,0.47506451980807546,1.0,0.7983798422222266,0.7356556288407448,0.6947128748827454,0.7025718615831894,0.6974418416097314,0.6704464958134021,0.6734180373918419
weilun01_5_0.3,,,0.12133513989219834,0.14319003173973094,0.18707073541424415,0.1262915688723061,0.1563165655107931,0.12133513989219832,0.6441642712910729,0.5484417770346441,0.49443216494033926,0.47582517719686407,0.39483281458966474,0.4116705447390555,0.40783877806110047,0.3970384496957676,0.7270155010812444,0.7042559139793919,0.6627537172353293,0.5834607565089025,0.5217575455069495,0.49562228604237146,0.49877021032272184,0.47992090984693564,0.7983798422222266,1.0,0.8003676894550596,0.6998965391705216,0.6963184410125083,0.6938148117946983,0.6841149364145673,0.6859774510474187
weilun01_10_0.3,,,0.12653798750469167,0.14896877730767194,0.17024746311482597,0.12972564109064608,0.16381040484159842,0.12653798750469156,0.6154263591034692,0.5667610520524176,0.46142417789559026,0.5022653919538805,0.4251568113506369,0.43132582308976203,0.4168317363893419,0.4182577944223473,0.6788260046961713,0.7103741240931195,0.6723910936096803,0.622846002265512,0.5572721282715704,0.5378016916159323,0.5501497839870986,0.5291810049954722,0.7356556288407448,0.8003676894550596,1.0,0.7939211585759477,0.7564636520024622,0.7487071070193233,0.7201358408292592,0.7019525789953385
weilun01_20_0.3,,,0.1328845111071188,0.15646589650129633,0.15306782829942178,0.10177787671412437,0.17197032404386842,0.13288451110711874,0.5709967767699767,0.5384952169353986,0.511137862350585,0.49662359316773097,0.4109565609838388,0.41784648532755553,0.4375042783413959,0.46335025382606,0.6620801307461817,0.6569478730810812,0.6695362304933907,0.6535929036026324,0.5848746448978963,0.5644910724947595,0.5593444597062976,0.5554888711537336,0.6947128748827454,0.6998965391705216,0.7939211585759477,1.0,0.8242141022921624,0.8106974852470544,0.7878527943425013,0.7818042818874121
weilun01_50_0.3,,,0.08992440991540386,0.127223588917715,0.1296459587841432,0.10364728428981822,0.17512899306842583,0.13532527053122992,0.5607220437596909,0.5812772859855864,0.5022497301744973,0.4954240054028158,0.4185048154099171,0.425521290603189,0.42002436197254883,0.44700078547559596,0.6640430466095893,0.6367723466622693,0.7038240276821457,0.6736207730252192,0.5956173438743586,0.5748593757194111,0.5696182323979241,0.5656918262307502,0.7025718615831894,0.6963184410125083,0.7564636520024622,0.8242141022921624,1.0,0.9018754903905605,0.8676456288172048,0.8615996369065938
weilun01_100_0.3,,,0.13934879779989975,0.16410409912676446,0.1605795700392627,0.10690519930061983,0.18027734027821485,0.13934879779989987,0.5911505470747133,0.5984022877856214,0.5074070887418987,0.4991214004226392,0.4308077931233623,0.4380542284804009,0.4454158302182125,0.47276945282399346,0.6568494152145083,0.655382435486761,0.7090615504179694,0.651853074592627,0.612962568908899,0.582242264234454,0.5862395128356774,0.58226692431533,0.6974418416097314,0.6938148117946983,0.7487071070193233,0.8106974852470544,0.9018754903905605,1.0,0.8861444106894796,0.8800423625237985
weilun01_200_0.3,,,0.09495263899150899,0.13433744542858123,0.1368614429570864,0.10930658106962061,0.1850575358137493,0.14295067628392003,0.5708658143093563,0.5881139429072244,0.5019515066820412,0.5128531887591652,0.44223100075546756,0.46217101199570043,0.443921728665237,0.47250818313732534,0.6482800293322709,0.652533254741249,0.7053586052898191,0.6612229087346976,0.6201388094757446,0.5978871293237301,0.6117731088456615,0.6074949237689097,0.6704464958134021,0.6841149364145673,0.7201358408292592,0.7878527943425013,0.8676456288172048,0.8861444106894796,1.0,0.93135740937145
weilun01_300_0.3,,,0.09418868193733647,0.13325661144476889,0.135488924196247,0.10733380405535715,0.18465984218357642,0.14227020391274614,0.5720003738554238,0.5690277997272524,0.5024505476170837,0.5246759616406375,0.4412806344205216,0.4610313960522169,0.4436495154686227,0.4728212814402815,0.6560597684522925,0.6382943981936907,0.7222611084823103,0.6620446223247406,0.6295550106153045,0.6071167910268125,0.6115181943006239,0.606678518501968,0.6734180373918419,0.6859774510474187,0.7019525789953385,0.7818042818874121,0.8615996369065938,0.8800423625237985,0.93135740937145,1.0
