,correlation,correlation_stable,accuracy,mean,std,skewness,zero_percent
FundingRate_5_1.0,0.04740159178296878,0.3999999999999999,0.56,-0.037518455996996894,0.6084379190313486,-0.1661978549831901,0.07407407407407407
FundingRate_10_1.0,0.02768458282896441,-0.40000000000000013,0.5961538461538461,-0.05792581953802078,0.687276401055049,0.11434998871094884,0.037037037037037035
FundingRate_20_1.0,0.04065526972370783,-0.6000000000000001,0.5576923076923077,-0.09103698233840793,0.7166126051224356,0.2770894443420082,0.037037037037037035
FundingRate_30_1.0,0.037406979787394386,0.3999999999999999,0.5961538461538461,-0.09487843793340038,0.7068822761726871,0.18028696060177732,0.037037037037037035
FundingRate_50_1.0,0.08898760210342352,0.8,0.5490196078431373,-0.06604398152811548,0.7141558326578716,0.19660760636077945,0.05555555555555555
FundingRate_100_1.0,0.14097814606018794,0.8,0.6041666666666666,-0.0146574149064424,0.6450631694583663,0.050949692085733564,0.1111111111111111
FundingRate_200_1.0,0.12155583715781543,-0.6000000000000001,0.6428571428571429,-0.018889880549476313,0.5324573426005422,0.02628901231164909,0.2222222222222222
