,FundingRate_5_1.0,FundingRate_10_1.0,FundingRate_20_1.0,FundingRate_30_1.0
FundingRate_5_1.0,1.0,0.8313300151675707,0.667703366404235,0.5975690268950977
FundingRate_10_1.0,0.8313300151675707,1.0,0.8652898438533573,0.778224049840055
FundingRate_20_1.0,0.667703366404235,0.8652898438533573,1.0,0.9434769803673606
FundingRate_30_1.0,0.5975690268950977,0.778224049840055,0.9434769803673606,1.0
