,SpotFutureSpread_7_True,SpotFutureSpread_14_True,SpotFutureSpread_30_True,SpotFutureSpread_60_True,SpotFutureSpread_90_True,SpotFutureSpread_120_True,SpotFutureSpread_180_True,SpotFutureSpread_365_True
SpotFutureSpread_7_True,1.0,0.9118306801140235,0.8093480681264952,0.7046252648427305,0.6472603829200393,0.6072407421983754,0.553098918548098,0.4794004228039801
SpotFutureSpread_14_True,0.9118306801140235,1.0,0.9113501959675172,0.8093762916134642,0.7426485043626427,0.6913560930497277,0.6319127898519975,0.5364366601194812
SpotFutureSpread_30_True,0.8093480681264952,0.9113501959675172,1.0,0.9291786058123594,0.8615181698308457,0.8094819334828378,0.7301753391474868,0.6061679900651181
SpotFutureSpread_60_True,0.7046252648427305,0.8093762916134642,0.9291786058123594,1.0,0.9647176668992995,0.9182435410348194,0.8338194499000395,0.6882085775322516
SpotFutureSpread_90_True,0.6472603829200393,0.7426485043626427,0.8615181698308457,0.9647176668992995,1.0,0.9779718029792096,0.9081639594390973,0.7586409753249365
SpotFutureSpread_120_True,0.6072407421983754,0.6913560930497277,0.8094819334828378,0.9182435410348194,0.9779718029792096,1.0,0.9574648059800807,0.8107158263761535
SpotFutureSpread_180_True,0.553098918548098,0.6319127898519975,0.7301753391474868,0.8338194499000395,0.9081639594390973,0.9574648059800807,1.0,0.8974559041073341
SpotFutureSpread_365_True,0.4794004228039801,0.5364366601194812,0.6061679900651181,0.6882085775322516,0.7586409753249365,0.8107158263761535,0.8974559041073341,1.0
